City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Akdepe,TM,2021-03-27 18:54:21,42.0551,59.3788,51.8,58,0,4.61
179,Mar Del Plata,AR,2021-03-27 18:49:28,-38.0023,-57.5575,64.99,77,75,25.32
180,Keelung,TW,2021-03-27 18:54:21,25.1283,121.7419,73.0,94,20,2.3
181,Puerto Escondido,MX,2021-03-27 18:54:21,15.85,-97.0667,86.0,84,1,12.66
182,Oktyabrskoye,RU,2021-03-27 18:54:22,43.0645,44.7417,44.6,57,100,4.47
183,Yellandu,IN,2021-03-27 18:54:22,17.6,80.3333,80.58,53,2,4.79
184,Te Anau,NZ,2021-03-27 18:50:07,-45.4167,167.7167,55.6,96,100,1.57
185,Oltu,TR,2021-03-27 18:54:22,40.5498,42.0013,23.0,96,63,3.38
186,Harper,LR,2021-03-27 18:54:23,4.375,-7.7169,79.23,83,8,5.82
187,Tasiilaq,GL,2021-03-27 18:54:24,65.6145,-37.6368,15.8,57,90,26.46
188,Asosa,ET,2021-03-27 18:50:21,10.0667,34.5333,68.92,48,96,2.08
189,Dunedin,NZ,2021-03-27 18:54:25,-45.8742,170.5036,61.0,76,100,1.99
190,Machinga,MW,2021-03-27 18:54:26,-15.1685,35.3,68.13,91,0,1.14
191,Ambon,ID,2021-03-27 18:54:26,-3.6954,128.1814,75.2,100,40,4.61
192,Dese,ET,2021-03-27 18:54:27,11.1333,39.6333,53.64,40,5,2.24
193,Prainha,BR,2021-03-27 18:54:28,-1.8,-53.48,84.36,67,40,5.35
194,Djibo,BF,2021-03-27 18:54:29,14.1022,-1.6306,87.35,10,0,11.65
195,Pinhao,BR,2021-03-27 18:54:29,-25.6956,-51.6597,76.1,65,100,8.12
196,Jardim,BR,2021-03-27 18:54:30,-21.4803,-56.1381,96.4,24,97,8.93
197,Half Moon Bay,US,2021-03-27 18:53:33,37.4636,-122.4286,68.0,55,1,4.32
198,Boralday,KZ,2021-03-27 18:54:32,43.3578,76.8594,50.0,93,90,11.18
199,Aquiraz,BR,2021-03-27 18:54:18,-3.9014,-38.3911,79.0,83,75,3.44
200,San Lorenzo,PY,2021-03-27 18:54:34,-25.3333,-57.5333,79.0,81,100,6.53
201,Victoria,HK,2021-03-27 18:49:48,22.2855,114.1577,73.99,89,48,3.31
202,Bergama,TR,2021-03-27 18:54:35,39.1207,27.1805,50.0,66,0,2.3
203,Lorengau,PG,2021-03-27 18:54:36,-2.0226,147.2712,80.78,79,100,8.23
204,Mehamn,NO,2021-03-27 18:54:37,71.0357,27.8492,35.65,87,100,12.33
205,Havelock,US,2021-03-27 18:54:37,34.8791,-76.9013,75.2,73,75,11.5
206,Sabha,LY,2021-03-27 18:54:38,27.0377,14.4283,61.65,21,0,11.1
207,Tahoua,NE,2021-03-27 18:54:39,14.8888,5.2692,87.8,5,3,9.22
208,New Norfolk,AU,2021-03-27 18:54:39,-42.7826,147.0587,52.0,82,100,3.42
209,Khani,GE,2021-03-27 18:54:39,41.9563,42.9566,42.8,81,75,18.41
210,Salto,UY,2021-03-27 18:54:40,-31.3833,-57.9667,70.0,73,75,9.22
211,Kisangani,CD,2021-03-27 18:54:18,0.5167,25.2,74.93,72,90,2.82
212,Dingle,PH,2021-03-27 18:54:40,10.9995,122.6711,75.85,86,77,6.64
213,Atar,MR,2021-03-27 18:51:43,20.5169,-13.0499,98.6,23,0,4.61
214,Shubarkuduk,KZ,2021-03-27 18:54:40,49.1447,56.4872,15.78,97,51,4.52
215,Chuy,UY,2021-03-27 18:50:33,-33.6971,-53.4616,76.37,76,100,3.02
216,Point Pleasant,US,2021-03-27 18:54:41,40.0832,-74.0682,66.99,48,1,6.91
217,Houma,US,2021-03-27 18:50:49,29.5958,-90.7195,82.99,78,75,23.02
218,Udachnyy,RU,2021-03-27 18:54:42,66.4167,112.4,-10.82,100,90,3.44
219,Hami,CN,2021-03-27 18:54:43,42.8,93.45,55.71,42,100,8.14
220,Can Tho,VN,2021-03-27 18:53:30,10.0333,105.7833,78.8,94,20,5.75
221,Ancud,CL,2021-03-27 18:54:45,-41.8697,-73.8203,69.01,63,0,5.75
222,Castro,BR,2021-03-27 18:54:47,-24.7911,-50.0119,77.85,66,89,8.39
223,Komsomolskiy,UZ,2021-03-27 18:54:47,40.4272,71.7189,55.4,82,100,4.61
224,Ribeira Grande,PT,2021-03-27 18:54:47,38.5167,-28.7,62.6,82,40,11.5
225,Bayan,CN,2021-03-27 18:54:48,46.0833,127.4,40.87,88,11,8.08
226,Ponta Delgada,PT,2021-03-27 18:54:48,37.7333,-25.6667,60.8,63,20,10.36
227,Longyearbyen,SJ,2021-03-27 18:54:03,78.2186,15.6401,23.0,86,90,29.93
228,Saint-Paul,RE,2021-03-27 18:54:48,-21.0096,55.2707,77.0,78,75,4.61
229,Bambous Virieux,MU,2021-03-27 18:54:49,-20.3428,57.7575,78.01,94,75,6.91
230,Kysyl-Syr,RU,2021-03-27 18:54:49,63.8986,122.7617,7.07,98,98,3.62
231,Fortuna,US,2021-03-27 18:54:50,40.5982,-124.1573,64.99,67,20,4.5
232,Voznesenskoye,RU,2021-03-27 18:54:51,54.89,42.7569,33.21,82,100,5.91
233,Ballyshannon,IE,2021-03-27 18:54:52,54.5,-8.1833,46.4,100,90,12.66
234,Narsaq,GL,2021-03-27 18:50:45,60.9167,-46.05,8.6,40,75,6.91
235,Poum,NC,2021-03-27 18:54:55,-20.2333,164.0167,79.65,76,10,9.62
236,San Patricio,US,2021-03-27 18:54:56,28.017,-97.5169,84.0,69,75,16.11
237,Parana,AR,2021-03-27 18:52:33,-31.732,-60.5238,75.0,56,45,1.01
238,Eqbaliyeh,IR,2021-03-27 18:54:57,35.3022,51.5358,60.8,20,0,25.32
239,Rantepao,ID,2021-03-27 18:54:33,-2.9701,119.8978,67.95,98,100,1.88
240,Portland,US,2021-03-27 18:51:38,45.5234,-122.6762,55.99,58,75,3.44
241,Kolobrzeg,PL,2021-03-27 18:55:00,54.1757,15.5834,39.0,100,53,17.58
242,Kagoro,NG,2021-03-27 18:55:01,9.6,8.3833,81.1,16,2,7.7
243,Cubuk,TR,2021-03-27 18:55:02,40.2386,33.0322,37.4,65,40,2.3
244,Saldanha,ZA,2021-03-27 18:55:03,-33.0117,17.9442,60.8,63,0,14.97
245,Peniche,PT,2021-03-27 18:55:05,39.3558,-9.3811,59.0,74,46,1.01
246,Nicoya,CR,2021-03-27 18:55:06,10.1483,-85.452,91.4,33,0,24.16
