City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
449,Nouakchott,MR,69.8,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
453,Ovalle,CL,72.23,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
454,Codrington,AU,60.66,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
455,Hervey Bay,AU,73.0,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
460,Kuching,MY,77.0,few clouds,1.55,110.3333,The Ranee Boutique Suites
461,Abu Dhabi,AE,73.4,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
462,Port Macquarie,AU,72.0,few clouds,-31.4333,152.9167,Rydges Port Macquarie
463,Punta Alta,AR,62.42,few clouds,-38.8759,-62.0736,Center Hotel Punta Alta
464,Banda Aceh,ID,79.18,overcast clouds,5.5577,95.3222,Sulthan Hotel International
465,Wairoa,NZ,66.99,moderate rain,-39.0333,177.3667,Riverside Motor Camp
467,Shimoda,JP,63.0,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
481,Arlit,NE,69.58,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
482,Aguimes,ES,66.2,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
490,Ca Mau,VN,76.15,few clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
491,Bani,DO,79.0,few clouds,18.2833,-70.3333,Hospedaje Henriquez
496,Itarema,BR,77.09,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
499,Nueve De Julio,AR,66.0,broken clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
500,Rafaela,AR,68.0,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
501,Somerset West,ZA,64.99,clear sky,-34.084,18.8211,Lourens River Guesthouse BnB
509,Xuddur,SO,74.32,broken clouds,4.1213,43.8894,Banjanay Hotel
510,Alizai,PK,64.51,clear sky,33.5383,70.3462,Alizai Rest House
513,Xiaoweizhai,CN,65.05,overcast clouds,26.1903,107.5125,Karst Youth Hostel
517,Ukiah,US,78.8,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
521,Vila Do Maio,CV,68.0,broken clouds,15.1333,-23.2167,Residence 'I Delfini'
522,Broken Hill,AU,60.8,clear sky,-31.95,141.4333,Royal Exchange Hotel
525,Hualmay,PE,70.97,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
530,Nabire,ID,75.47,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
531,Russell,US,66.2,overcast clouds,32.3502,-85.1999,Macs
532,Buri,BR,70.43,scattered clouds,-23.7975,-48.5928,Hotel Aro
534,Alappuzha,IN,78.8,overcast clouds,9.49,76.3264,Panoramic Sea Resort
536,Antofagasta,CL,64.4,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
538,Hobyo,SO,79.54,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
539,Tarakan,ID,78.17,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
542,Miles City,US,64.4,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
547,Matara,LK,74.68,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
549,Kuala Terengganu,MY,77.0,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
550,Morondava,MG,75.29,clear sky,-20.2833,44.2833,La Case Bambou
553,Amahai,ID,77.95,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
554,Tumaco,CO,78.08,light rain,1.7986,-78.8156,Dafneruben
555,Impfondo,CG,75.52,few clouds,1.6381,18.0667,Préfecture de la Likouala
560,Asfi,MA,63.0,broken clouds,32.2994,-9.2372,Hôtel Abda
562,Radha Kund,IN,75.2,smoke,27.5333,77.4833,Gaurav Hotel
563,Rapar,IN,76.1,scattered clouds,23.5667,70.6333,Dharamshi Bapa’s Home
571,Farmington,US,64.0,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
574,Dolores,AR,62.6,light rain,-36.3132,-57.6792,Apart Hotel - Arianos
579,Port Augusta,AU,62.6,clear sky,-32.5,137.7667,Majestic Oasis Apartments
580,Meulaboh,ID,76.3,overcast clouds,4.1363,96.1285,Kost Pria
586,Quelimane,MZ,78.8,scattered clouds,-17.8786,36.8883,Hotel Flamingo
587,Bontang,ID,77.23,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
589,Upata,VE,77.0,broken clouds,8.0086,-62.3989,Posada Villa Nela
592,Sao Joao Da Barra,BR,77.95,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
594,Atar,MR,77.97,broken clouds,20.5169,-13.0499,Oumou Elghoura
600,Deniliquin,AU,64.0,clear sky,-35.5333,144.9667,Riviana Motel
602,Omboue,GA,75.88,overcast clouds,-1.5746,9.2618,Hotel Olako
603,Kabanjahe,ID,75.2,broken clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
606,Kloulklubed,PW,78.8,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
610,Pimentel,PE,77.0,clear sky,-6.8367,-79.9342,Casona Del Muelle
613,Dwarka,IN,77.32,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
615,Carmelo,UY,71.6,few clouds,-33.9892,-58.2856,Los Muelles Boutique Hotel
622,Marshall,US,60.01,clear sky,34.3834,-86.3333,Riverview Campground
625,Trincomalee,LK,79.32,broken clouds,8.5711,81.2335,Welcombe Hotel
629,Camacha,PT,62.6,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
630,Galle,LK,75.47,broken clouds,6.0367,80.217,Amangalla
632,Carutapera,BR,76.1,overcast clouds,-1.195,-46.02,Lidera
633,Maputo,MZ,70.0,broken clouds,-25.9653,32.5892,Pestana Rovuma
636,Basoko,CD,76.35,scattered clouds,1.2391,23.616,Flat Hotel La Benediction
638,Porto Belo,BR,77.0,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
640,Isabela,PH,77.0,heavy intensity rain,6.7085,121.9711,Isawad Resort
641,Vavoua,CI,73.8,broken clouds,7.3819,-6.4778,Hotel Le Peuple
